Open,High,Low,Close,Adj Close,Volume,10_SMA,10_WMA,10_EMA,Stochastic_K,Stochastic_D,RSI,MACD,Signal_Line,MACD_Histogram,Williams_%R,A/D Oscillator
130.25,142.25,125.5,138.5625,103.57128143310547,60664652,,,138.5625,,,,0.0,0.0,0.0,,
138.75,140.97500610351562,133.8874969482422,134.8249969482422,100.77759552001953,15716452,,,137.88295399058947,0.0,0.0,0.0,-0.2981483915932017,-0.05962967831864035,-0.23851871327456137,,0.34038842852437207
134.25,135.72500610351562,130.375,132.02499389648438,98.68467712402344,8139932,,,136.8178703371158,0.0,0.0,0.0,-0.7517048006273512,-0.19804470278038255,-0.5536600978469687,,0.168225818412061
131.25,136.0,128.75,134.6125030517578,100.61876678466797,6683960,,,136.4168944670507,7.196264180873533,3.5981320904367666,33.08218209052103,-0.8920778403259817,-0.3368513302895024,-0.5552265100364793,,0.5482767039331896
134.75,137.25,133.77499389648438,135.46249389648438,101.25411987304688,4704780,,,136.2433670905841,15.448073031554152,9.52310256099546,40.53828415793787,-0.9240850508771814,-0.45429807440703823,-0.46978697647014317,,0.7589905944550317
135.5,137.25,113.19999694824219,135.9875030517578,101.64654541015625,2999152,,,136.19684635625202,23.659684869208164,16.591393715101812,44.912718946465326,-0.8967499692544436,-0.5427884533765193,-0.35396151587792435,,0.07432456867754852
136.0,139.0,134.625,138.1750030517578,103.28163146972656,3824532,,,136.55651120998036,36.4620530672444,26.526723391173107,59.30561259554268,-0.6906127973932712,-0.5723533221798697,-0.11825947521340152,,0.6885707310267857
138.6750030517578,140.625,134.5,135.3125,101.1419906616211,3830444,,,136.33032735362028,38.97565310890217,32.75118825003764,42.52834962081804,-0.7495869056491813,-0.607800038873732,-0.14178686677544927,,0.39999950175382654
136.25,136.25,132.5,134.3249969482422,100.40386962890625,1404644,,,135.9657218253697,38.28583585166686,35.51851205085225,38.22405074695777,-0.8660245626207086,-0.6594449436231273,-0.20657961899758126,,0.25
134.6999969482422,136.22500610351562,132.8874969482422,133.6999969482422,99.93669128417969,1078636,135.2987487792969,135.12045343572444,135.55377184771015,35.98321800121426,35.75086502603325,35.593289168688045,-0.9972389712152392,-0.7270037491415497,-0.27023522207368944,,0.5692895710177527
134.9875030517578,136.25,133.0625,133.9875030517578,100.15157318115234,1681864,134.84124908447265,134.88204512162642,135.26899570299153,35.24275481330479,35.49680991966902,37.863199123483625,-1.0657427762870384,-0.7947515545706475,-0.2709912217163909,,0.8000009574142157
133.9875030517578,136.71249389648438,133.5,134.46249389648438,100.50664520263672,2056784,134.80499877929688,134.81318054199218,135.12235901089932,36.04117890901117,35.7689944143401,41.774969133585365,-1.06937762425639,-0.849676768507796,-0.21970085574859388,,0.8482477889557031
135.25,137.25,135.25,136.1750030517578,101.78668212890625,1607788,135.21999969482422,135.06227222789417,135.31374883650994,39.544114294064464,37.656554354202285,53.85889349104559,-0.9234283830794539,-0.8644270914221276,-0.05900129165732626,,1.3937530517578125
136.3000030517578,139.375,136.27499389648438,137.46249389648438,102.74905395507812,2138440,135.50499877929687,135.46999844637784,135.7044297565053,47.641189771432224,42.648872062817254,60.8985337731644,-0.6958514642523426,-0.8307119659881707,0.1348605017358281,-16.826081476605935,1.0322550476959274
137.53750610351562,138.5,134.75,135.0500030517578,100.94580078125,839132,135.46374969482423,135.38727195046164,135.58544308291485,44.46419036037758,43.55653121159742,45.79313303105287,-0.7020699403716435,-0.8049835608648652,0.10291362049322172,-50.81293248678194,0.27666829427083334
136.0,140.5,136.0,136.625,102.12305450439453,897504,135.52749938964843,135.59840836958452,135.77445343147576,48.26399348352002,45.910262347558714,54.32701713360384,-0.5733003865840374,-0.7586469260086998,0.1853465394246624,-25.203264135448222,1.2111104329427083
137.0124969482422,155.96249389648438,136.625,146.0625,109.17730712890625,19172256,136.31624908447264,137.51386302601207,137.64500735302562,57.67054012288001,51.79040123521936,78.13091822345021,0.28696978104539994,-0.5495235845978799,0.8364933656432798,-0.0,1.0
144.9499969482422,153.47500610351562,143.3125,151.2624969482422,113.06414794921875,9057312,137.91124877929687,140.23136263760654,140.1209145521559,65.36680555508364,58.578603395151504,83.5737152511657,1.3725148851043798,-0.165115890657428,1.5376307757618077,-0.0,0.7293974564946473
144.25,156.75,144.25,152.2375030517578,113.7929458618164,7104400,139.70249938964844,142.83613614169033,142.3239306429926,71.66374999961388,65.1211766973827,84.41299440111668,2.285150255401362,0.32493733855433005,1.960212916847032,-0.0,0.439000244140625
156.25,156.25,148.3125,150.28750610351562,112.33535766601562,2906004,141.3612503051758,144.76068281693892,143.77185345399678,74.87308367515887,69.99713018627078,75.50981733213945,2.8185810567098315,0.8236660821854305,1.994914974524401,-10.519197875664473,0.5055114265501969
148.8125,152.9250030517578,147.5124969482422,148.3874969482422,110.91514587402344,2542148,142.8012496948242,146.03818220658735,144.6110613620414,75.5034943706973,72.75031227848405,67.50516660776684,3.0528229079500875,1.269497447338362,1.7833254606117255,-20.768738157208073,0.4872968081327492
149.9499969482422,156.5,148.5,154.39999389648438,115.40931701660156,6943500,144.7949996948242,148.14704478870738,146.39086727739465,79.95740448511597,76.35385838180001,76.57298787589713,3.681185107408936,1.751834979352477,1.9293501280564591,-0.0,1.0140628814697266
154.875,157.9499969482422,154.0749969482422,154.8625030517578,115.7550277709961,4061248,146.66374969482422,149.97749994451348,147.9311646909152,83.60151276054943,79.97768557117472,77.13921815282869,4.168436163731457,2.2351552162282733,1.9332809475031834,-0.0,0.9161298198084677
