Open,High,Low,Close,Adj Close,Volume
130.25,142.25,125.5,138.5625,103.57128143310547,60664652
138.75,140.97500610351562,133.8874969482422,134.8249969482422,100.77759552001953,15716452
134.25,135.72500610351562,130.375,132.02499389648438,98.68467712402344,8139932
131.25,136.0,128.75,134.6125030517578,100.61876678466797,6683960
134.75,137.25,133.77499389648438,135.46249389648438,101.25411987304688,4704780
135.5,137.25,113.19999694824219,135.9875030517578,101.64654541015625,2999152
136.0,139.0,134.625,138.1750030517578,103.28163146972656,3824532
138.6750030517578,140.625,134.5,135.3125,101.1419906616211,3830444
136.25,136.25,132.5,134.3249969482422,100.40386962890625,1404644
134.6999969482422,136.22500610351562,132.8874969482422,133.6999969482422,99.93669128417969,1078636
134.9875030517578,136.25,133.0625,133.9875030517578,100.15157318115234,1681864
133.9875030517578,136.71249389648438,133.5,134.46249389648438,100.50664520263672,2056784
135.25,137.25,135.25,136.1750030517578,101.78668212890625,1607788
136.3000030517578,139.375,136.27499389648438,137.46249389648438,102.74905395507812,2138440
137.53750610351562,138.5,134.75,135.0500030517578,100.94580078125,839132
136.0,140.5,136.0,136.625,102.12305450439453,897504
137.0124969482422,155.96249389648438,136.625,146.0625,109.17730712890625,19172256
144.9499969482422,153.47500610351562,143.3125,151.2624969482422,113.06414794921875,9057312
144.25,156.75,144.25,152.2375030517578,113.7929458618164,7104400
156.25,156.25,148.3125,150.28750610351562,112.33535766601562,2906004
148.8125,152.9250030517578,147.5124969482422,148.3874969482422,110.91514587402344,2542148
149.9499969482422,156.5,148.5,154.39999389648438,115.40931701660156,6943500
154.875,157.9499969482422,154.0749969482422,154.8625030517578,115.7550277709961,4061248
156.1750030517578,156.1750030517578,152.03750610351562,153.25,114.54974365234375,1210420
153.75,157.5,152.5,154.60000610351562,115.55882263183594,2381504
154.75,158.96249389648438,153.75,154.85000610351562,115.74568939208984,3202624
155.39999389648438,156.0,152.5,153.4250030517578,114.68054962158203,1202696
155.3000030517578,157.0,154.75,156.03750610351562,116.63330078125,857264
157.25,159.9875030517578,154.53750610351562,155.3249969482422,116.10074615478516,2473768
154.5,156.22500610351562,152.5,153.5124969482422,114.7459487915039,961312
155.0,156.1999969482422,152.58749389648438,153.96249389648438,115.08229064941406,840552
155.0,163.4499969482422,155.0,157.4875030517578,117.71714782714844,7770292
158.625,159.27499389648438,155.25,157.4250030517578,117.67044067382812,2884688
158.77499389648438,173.22500610351562,158.77499389648438,170.4875030517578,127.43424987792969,10084532
172.0625,179.5,172.0625,177.6125030517578,132.75999450683594,7437840
178.5,179.25,175.0625,176.125,131.64813232421875,3306924
177.5,178.75,170.0,171.0124969482422,127.82665252685547,3019184
175.0,198.0,175.0,193.1750030517578,144.3924560546875,18835652
194.75,225.0,194.0,215.83749389648438,161.3319854736328,21011380
239.0,247.2375030517578,220.25,224.53750610351562,167.8350067138672,16687696
225.0,231.5,223.08749389648438,229.66250610351562,171.665771484375,10700288
230.3249969482422,253.5,230.3249969482422,250.2375030517578,187.04495239257812,17816692
252.5,261.95001220703125,246.25,251.6374969482422,188.09141540527344,12570116
252.0,256.25,239.14999389648438,247.4250030517578,184.9427032470703,8952160
250.25,256.0,245.64999389648438,252.3125,188.59597778320312,7815152
252.0,254.66250610351562,248.78750610351562,250.625,187.3345947265625,4379712
251.0,251.25,246.25,248.0,185.3724822998047,2850172
250.0,255.25,245.75,249.5749969482422,186.5497283935547,3482952
253.4250030517578,253.60000610351562,246.8125,247.7375030517578,185.17628479003906,2035924
249.64999389648438,251.25,242.25,247.6750030517578,185.1295623779297,3295280
250.5,250.6999969482422,245.5,246.89999389648438,184.55026245117188,1888468
248.60000610351562,257.75,243.75,249.83749389648438,186.74595642089844,5312484
250.0,254.21249389648438,248.625,251.4375,187.94190979003906,2536604
252.5,253.75,247.78750610351562,249.03750610351562,186.1479949951172,2367328
250.0,272.45001220703125,249.375,268.3999938964844,200.62088012695312,10842812
268.76251220703125,291.6499938964844,265.54998779296875,288.23748779296875,215.4488067626953,16836432
290.0,294.42498779296875,274.5,278.7749938964844,208.3759002685547,8229376
275.0,287.20001220703125,265.1000061035156,284.7749938964844,212.8607177734375,7255332
282.6625061035156,302.42498779296875,282.6625061035156,295.5874938964844,220.94265747070312,7310604
296.75,299.9375,292.125,293.625,219.47579956054688,3415848
296.25,296.25,285.04998779296875,287.42498779296875,214.8415069580078,2498644
275.26251220703125,295.54998779296875,275.26251220703125,285.2250061035156,213.19705200195312,3247380
285.8999938964844,287.48748779296875,279.17498779296875,281.76251220703125,210.60897827148438,1628732
279.98748779296875,288.0,268.82501220703125,279.07501220703125,208.60008239746094,3116228
281.25,287.25,279.29998779296875,281.2250061035156,210.20716857910156,1654736
282.67498779296875,284.25,278.0249938964844,280.625,209.75872802734375,974100
282.5,286.625,278.2749938964844,280.0625,209.3382568359375,1191888
281.25,284.42498779296875,277.54998779296875,278.1875,207.93670654296875,1164244
278.375,294.17498779296875,276.25,291.625,217.98086547851562,4355516
293.75,298.0,281.57501220703125,284.0625,212.3280792236328,4025108
283.75,292.625,281.3125,284.98748779296875,213.01951599121094,3723552
287.5,287.5,280.54998779296875,281.42498779296875,210.35662841796875,1497532
284.67498779296875,286.5,268.5249938964844,274.0,204.80667114257812,2571276
275.0,280.5,253.5,260.4375,194.6691131591797,3110364
261.5,273.45001220703125,252.52499389648438,270.17498779296875,201.94764709472656,1982848
272.75,283.42498779296875,270.75,277.3500061035156,207.31069946289062,2178500
279.0,285.42498779296875,260.0,282.67498779296875,211.29100036621094,1635840
